Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#47,Mid,TES Jackeylove,Platinum III - 11 LP,54.4,68 / 57
#48,Support,Embrace,Platinum III - 11 LP,56.5,61 / 47
#49,Top,Raleigh Obelisk,Platinum III - 10 LP,57.1,52 / 39
#50,Jungle,Ricefarmer,Platinum III - 9 LP,56.3,49 / 38
#51,Mid,Slimsnoker,Platinum III - 8 LP,59.4,57 / 39
#52,Mid,Bye Bye Driver,Platinum III - 7 LP,59.8,52 / 35
#53,Mid,Renners,Platinum III - 7 LP,53.8,50 / 43
#54,ADC,Kvad,Platinum III - 6 LP,45.8,38 / 45
#55,Jungle,Luv Email,Platinum III - 6 LP,58.8,67 / 47
#56,Top,Kapp MenInBlack,Platinum III - 5 LP,65.5,55 / 29
#57,Jungle,EG Voutocu,Platinum III - 5 LP,51.2,42 / 40
#58,ADC,Char,Platinum III - 5 LP,53.5,54 / 47
#59,Support,Tealeaf,Platinum III - 4 LP,56.7,38 / 29
#60,Support,JhinSuppNoTroll,Platinum III - 4 LP,52.2,60 / 55
#61,ADC,Moltair 2,Platinum III - 4 LP,55.2,53 / 43
#62,Mid,Star Player,Platinum III - 4 LP,48.5,47 / 50
#63,Support,Help,Platinum III - 4 LP,49.5,52 / 53
#64,Jungle,Test2,Platinum III - 3 LP,59.5,44 / 30
#65,Support,Emwues24,Platinum III - 3 LP,63.0,51 / 30
#66,Mid,loselane_wingame,Platinum III - 1 LP,56.3,36 / 28
#67,Jungle,MexicanPidgeon,Platinum III - 1 LP,53.0,53 / 47
#68,Mid,Foxy,Platinum III - 0 LP,54.2,39 / 33
#69,Top,Malakkar,Platinum IV - 98 LP,58.8,57 / 40
#70,Top,Titan,Platinum IV - 98 LP,56.7,38 / 29
#71,Support,johnnyboy445,Platinum IV - 98 LP,53.6,45 / 39
#72,Top,Rio,Platinum IV - 98 LP,56.0,56 / 44
#73,Top,allee,Platinum IV - 98 LP,61.4,54 / 34
#74,ADC,saucegqy,Platinum IV - 97 LP,56.8,54 / 41
#75,Mid,BOOCAUWMOO,Platinum IV - 97 LP,56.0,42 / 33
#76,ADC,Goblin,Platinum IV - 95 LP,51.6,48 / 45
#77,Top,circles,Platinum IV - 95 LP,51.6,47 / 44
#78,Mid,Hai,Platinum IV - 94 LP,57.3,59 / 44
#79,Support,TheRelic4411,Platinum IV - 94 LP,53.8,50 / 43
#80,ADC,B0n Ivern,Platinum IV - 94 LP,54.0,47 / 40
#81,Jungle,chef,Platinum IV - 92 LP,58.8,47 / 33
#82,Jungle,Sparrow,Platinum IV - 92 LP,54.1,59 / 50
#83,Jungle,ivy,Platinum IV - 91 LP,58.6,51 / 36
#84,ADC,Rio Sonogami,Platinum IV - 91 LP,61.3,57 / 36
#85,Support,Plays Rengar Sup,Platinum IV - 91 LP,53.8,49 / 42
#86,Mid,Matoro,Platinum IV - 90 LP,57.5,50 / 37
#87,Top,OPL toplaner,Platinum IV - 90 LP,47.6,50 / 55
#88,Jungle,Dopa,Platinum IV - 90 LP,57.6,38 / 28
#89,Jungle,HLE Viper,Platinum IV - 89 LP,64.9,74 / 40
#90,Support,SKT Teddy,Platinum IV - 89 LP,55.7,54 / 43
#91,Top,Moleman,Platinum IV - 89 LP,50.0,47 / 47
#92,Mid,BottleCaps,Platinum IV - 89 LP,56.3,49 / 38
#93,Top,HAHAHAHAHAHAXD,Platinum IV - 89 LP,56.6,60 / 46
#94,Support,mars best bard,Platinum IV - 89 LP,58.3,67 / 48
#95,Top,Randomsmeker1234,Platinum IV - 89 LP,54.4,43 / 36
#96,Support,worsesupp,Platinum IV - 88 LP,50.5,46 / 45
#97,ADC,Klojjr,Platinum IV - 88 LP,56.8,42 / 32
#98,Jungle,Gnima,Platinum IV - 87 LP,47.6,50 / 55
#99,Top,Memeguel,Platinum IV - 87 LP,59.0,62 / 43
#100,Top,Destructoid,Platinum IV - 86 LP,60.2,62 / 41
