Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#77,Mid,Flame,Platinum III - 44 LP,56.2,113 / 88
#78,Support,Nia Honjou,Platinum III - 43 LP,52.0,91 / 84
#79,Support,Josuke Higashika,Platinum III - 43 LP,53.6,82 / 71
#80,Mid,Lucius ,Platinum III - 43 LP,56.9,99 / 75
#81,Top,Test1,Platinum III - 42 LP,56.3,94 / 73
#82,ADC,Riverr,Platinum III - 42 LP,56.0,126 / 99
#83,Top,Discord bot,Platinum III - 41 LP,52.6,102 / 92
#84,Jungle,Topener,Platinum III - 39 LP,54.8,109 / 90
#85,Mid,Frimmy23,Platinum III - 39 LP,48.0,94 / 102
#86,Jungle,Kasanova,Platinum III - 39 LP,57.6,83 / 61
#87,Mid,Choky,Platinum III - 38 LP,51.5,106 / 100
#88,ADC,Scarry,Platinum III - 38 LP,51.1,90 / 86
#89,Top,MarcHummer,Platinum III - 36 LP,49.5,92 / 94
#90,Jungle,EG Voutocu,Platinum III - 36 LP,54.3,89 / 75
#91,Support,God damn i doode,Platinum III - 35 LP,53.9,90 / 77
#92,Mid,Magus,Platinum III - 34 LP,52.7,89 / 80
#93,Top,Copyright,Platinum III - 31 LP,51.9,97 / 90
#94,Mid,violator,Platinum III - 31 LP,54.6,100 / 83
#95,Top,Jabron,Platinum III - 31 LP,56.5,105 / 81
#96,ADC,Thongchai,Platinum III - 31 LP,51.4,108 / 102
#97,Mid,Minx,Platinum III - 30 LP,46.0,75 / 88
#98,Top,Destiny,Platinum III - 30 LP,54.2,84 / 71
#99,Jungle,KekLetter,Platinum III - 29 LP,53.5,92 / 80
#100,Mid,UnMeta,Platinum III - 28 LP,53.5,83 / 72
