Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#50,Mid,Middy,Platinum IV - 99 LP,42.3,33 / 45
#51,Support,Kutchcrafter,Platinum IV - 97 LP,57.6,53 / 39
#52,ADC,ADC shen,Platinum IV - 97 LP,54.7,47 / 39
#53,Top,Jabron,Platinum IV - 95 LP,54.3,50 / 42
#54,Top,Kapp MenInBlack,Platinum IV - 94 LP,66.2,47 / 24
#55,Mid,Dendi,Platinum IV - 91 LP,49.0,50 / 52
#56,ADC,Pokimane,Platinum IV - 91 LP,56.3,45 / 35
#57,Support,Rookie,Platinum IV - 89 LP,57.7,45 / 33
#58,Mid,Hai,Platinum IV - 89 LP,57.3,47 / 35
#59,Mid,fæker,Platinum IV - 89 LP,50.6,40 / 39
#60,Support,Emwues24,Platinum IV - 86 LP,62.3,43 / 26
#61,Top,Impact,Platinum IV - 86 LP,62.1,41 / 25
#62,Support,Rashid,Platinum IV - 85 LP,55.6,40 / 32
#63,Support,TheRelic4411,Platinum IV - 84 LP,52.7,39 / 35
#64,Support,GodEmperorSwain,Platinum IV - 84 LP,57.1,48 / 36
#65,Top,R0ck,Platinum IV - 84 LP,63.9,39 / 22
#66,Mid,Jensen,Platinum IV - 84 LP,62.3,43 / 26
#67,Top,HAHAHAHAHAHAXD,Platinum IV - 83 LP,56.8,50 / 38
#68,Top,SS Flandre,Platinum IV - 83 LP,56.7,51 / 39
#69,ADC,Doublelift,Platinum IV - 83 LP,50.7,38 / 37
#70,Top,Moleman,Platinum IV - 83 LP,47.9,35 / 38
#71,ADC,Perkz,Platinum IV - 83 LP,50.0,36 / 36
#72,Mid,Cambleur,Platinum IV - 82 LP,51.5,34 / 32
#73,Top,Randomsmeker1234,Platinum IV - 82 LP,53.1,34 / 30
#74,Mid,AlfredSmith,Platinum IV - 82 LP,55.4,36 / 29
#75,Support,AnosVold,Platinum IV - 80 LP,43.3,26 / 34
#76,ADC,BöllerBusch,Platinum IV - 80 LP,58.9,43 / 30
#77,ADC,man no hat,Platinum IV - 79 LP,58.4,45 / 32
#78,ADC,AI SalzLordOmega,Platinum IV - 79 LP,60.0,39 / 26
#79,Mid,Megumin,Platinum IV - 78 LP,52.7,49 / 44
#80,Support,CoreJJ,Platinum IV - 77 LP,58.3,49 / 35
#81,Mid,Jomeil,Platinum IV - 77 LP,50.0,40 / 40
#82,Jungle,Hugan,Platinum IV - 77 LP,46.8,37 / 42
#83,Mid,Frethborn,Platinum IV - 77 LP,56.5,39 / 30
#84,Top,Sioux,Platinum IV - 77 LP,55.1,38 / 31
#85,ADC,Asian City,Platinum IV - 76 LP,56.3,36 / 28
#86,Jungle,Xyras,Platinum IV - 76 LP,52.6,40 / 36
#87,Jungle,Broxah,Platinum IV - 76 LP,55.3,42 / 34
#88,Mid,Ziad,Platinum IV - 76 LP,52.1,38 / 35
#89,Top,SpaXgamer,Platinum IV - 75 LP,50.0,46 / 46
#90,Jungle,Bibi,Platinum IV - 75 LP,59.7,46 / 31
#91,Top,AI Strawberryy,Platinum IV - 75 LP,56.2,41 / 32
#92,Jungle,Dopa,Platinum IV - 75 LP,56.9,29 / 22
#93,Mid,Qiyanized 2tp,Platinum IV - 75 LP,53.6,37 / 32
#94,Support,FPX Crisp,Platinum IV - 75 LP,52.4,44 / 40
#95,Top,Punchaubuns,Platinum IV - 75 LP,42.4,39 / 53
#96,Jungle,Spica,Platinum IV - 75 LP,38.4,33 / 53
#97,Jungle,worsejg,Platinum IV - 75 LP,57.4,39 / 29
#98,Mid,Neekolul,Platinum IV - 75 LP,53.8,42 / 36
#99,Top,Rafitxos,Platinum IV - 74 LP,45.1,32 / 39
#100,Jungle,TDA Exiled Light,Platinum IV - 74 LP,52.6,30 / 27
