Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#51,Support,Kapp Wampie,Platinum III - 48 LP,59.3,197 / 135
#52,Support,Egirl champs onl,Platinum III - 46 LP,42.1,169 / 232
#53,Top,SUPER TOP,Platinum III - 45 LP,54.6,262 / 218
#54,Support,Mastermind,Platinum III - 43 LP,49.9,200 / 201
#55,Support,R.Leg of Cauw,Platinum III - 42 LP,50.3,186 / 184
#56,Support,Biofrost,Platinum III - 42 LP,51.3,199 / 189
#57,Mid,Ann Takamaki,Platinum III - 40 LP,52.9,144 / 128
#58,Top,Punchaubuns,Platinum III - 40 LP,57.3,114 / 85
#59,Mid,NULL,Platinum III - 40 LP,53.4,241 / 210
#60,ADC,Magic Wampie,Platinum III - 40 LP,51.4,107 / 101
#61,Mid,Tap,Platinum III - 37 LP,55.5,227 / 182
#62,Support,TheRelic4411,Platinum III - 37 LP,54.5,128 / 107
#63,Support,225,Platinum III - 36 LP,52.5,217 / 196
#64,Jungle,SpiderLilyAI,Platinum III - 36 LP,55.2,122 / 99
#65,ADC,Gl0bal,Platinum III - 36 LP,50.0,146 / 146
#66,Support,healslut,Platinum III - 35 LP,52.5,221 / 200
#67,Mid,Hallend,Platinum III - 35 LP,48.1,168 / 181
#68,Top,Noobnoodle,Platinum III - 35 LP,56.0,84 / 66
#69,Jungle,token,Platinum III - 34 LP,51.7,165 / 154
#70,Mid,DOINB RYZE HACK,Platinum III - 33 LP,53.7,239 / 206
#71,Support,Reeco,Platinum III - 32 LP,50.0,204 / 204
#72,Jungle,Gnima,Platinum III - 32 LP,45.3,130 / 157
#73,Support,IG Southwind,Platinum III - 31 LP,51.4,235 / 222
#74,Top,SS Flandre,Platinum III - 31 LP,54.5,226 / 189
#75,ADC,IG Puff ,Platinum III - 30 LP,51.2,216 / 206
#76,Jungle,Garrosh,Platinum III - 30 LP,55.7,117 / 93
#77,Jungle,TarzanFaker,Platinum III - 30 LP,53.8,242 / 208
#78,ADC,4four,Platinum III - 29 LP,47.7,157 / 172
#79,Mid,MidBot,Platinum III - 29 LP,44.1,141 / 179
#80,Mid,Mantra,Platinum III - 27 LP,51.8,211 / 196
#81,Jungle,PepeHands,Platinum III - 27 LP,52.2,211 / 193
#82,ADC,R.Arm of Cauw,Platinum III - 26 LP,45.8,169 / 200
#83,Jungle,Nerminator,Platinum III - 26 LP,45.7,182 / 216
#84,Support,Aqua,Platinum III - 25 LP,54.9,234 / 192
#85,Mid,Loosius,Platinum III - 25 LP,49.8,200 / 202
#86,Mid,Lucius ,Platinum III - 23 LP,62.6,109 / 65
#87,Top,Always Splits,Platinum III - 23 LP,50.9,146 / 141
#88,ADC,ύψιλον,Platinum III - 23 LP,53.7,188 / 162
#89,Mid,loselane_wingame,Platinum III - 23 LP,56.9,149 / 113
#90,Support,beaituul,Platinum III - 22 LP,47.7,196 / 215
#91,ADC,fulltag,Platinum III - 22 LP,47.3,210 / 234
#92,Support,CoreJJ,Platinum III - 22 LP,55.9,175 / 138
#93,Support,Kutcher,Platinum III - 22 LP,57.7,233 / 171
#94,Top,TDA Brokenrelic,Platinum III - 22 LP,53.1,237 / 209
#95,Mid,I like trains,Platinum III - 21 LP,53.0,204 / 181
#96,Mid,Bye Bye Driver,Platinum III - 21 LP,50.4,182 / 179
#97,ADC,Kogglemoggle,Platinum III - 20 LP,54.3,229 / 193
#98,Jungle,funnel is dead,Platinum III - 20 LP,53.7,219 / 189
#99,ADC,PvM,Platinum III - 19 LP,55.7,221 / 176
#100,Top,MJay,Platinum III - 19 LP,56.4,241 / 186
